id,model_name,path,repetition,backbone,downstream,cap,iou,f1
4dc1e6d190c9c326d9e0bea1d982b8f3,V1_pre_f3_train_f3_cap_1%,../saves/models/V1/V1_pre_f3_train_f3_cap_1%,V1,f3,f3,0.01,0.5239911079406738,0.8424869775772095
e927307a871f4c301682130330a109a3,V1_pre_f3_train_f3_cap_10%,../saves/models/V1/V1_pre_f3_train_f3_cap_10%,V1,f3,f3,0.1,0.6477391719818115,0.8826273083686829
7d63cad218addf0471564e65c5ba886e,V1_pre_f3_train_f3_cap_50%,../saves/models/V1/V1_pre_f3_train_f3_cap_50%,V1,f3,f3,0.5,0.707516074180603,0.900241494178772
244607e5324ff0e134bc031092156201,V1_pre_f3_train_f3_cap_100%,../saves/models/V1/V1_pre_f3_train_f3_cap_100%,V1,f3,f3,1.0,0.7169421911239624,0.9010391235351562
069c79b3d5744183eb7b6df084714717,V1_pre_f3_train_f3_N_cap_1%,../saves/models/V1/V1_pre_f3_train_f3_N_cap_1%,V1,f3,f3_N,0.01,0.542651891708374,0.8477956652641296
2c13d17abdb6f3c8dff9ac6c15006feb,V1_pre_f3_train_f3_N_cap_10%,../saves/models/V1/V1_pre_f3_train_f3_N_cap_10%,V1,f3,f3_N,0.1,0.6995336413383484,0.9089952111244202
0a146591e46183aed70c103dfabeaeb1,V1_pre_f3_train_f3_N_cap_50%,../saves/models/V1/V1_pre_f3_train_f3_N_cap_50%,V1,f3,f3_N,0.5,0.7038474082946777,0.9008296728134156
a83d358c15d025e708b1486d2360ac82,V1_pre_f3_train_f3_N_cap_100%,../saves/models/V1/V1_pre_f3_train_f3_N_cap_100%,V1,f3,f3_N,1.0,0.7177826762199402,0.909856617450714
5d5ea246cd9017bc21b228f1e34ab1a5,V1_pre_f3_train_seam_ai_cap_1%,../saves/models/V1/V1_pre_f3_train_seam_ai_cap_1%,V1,f3,seam_ai,0.01,0.4778576493263244,0.7618122696876526
24a7a51dae09104274fac787d830bbed,V1_pre_f3_train_seam_ai_cap_10%,../saves/models/V1/V1_pre_f3_train_seam_ai_cap_10%,V1,f3,seam_ai,0.1,0.6466056108474731,0.8675215840339661
497c9d46937f6556dd5a7e8d1b40c9e8,V1_pre_f3_train_seam_ai_cap_50%,../saves/models/V1/V1_pre_f3_train_seam_ai_cap_50%,V1,f3,seam_ai,0.5,0.728435218334198,0.8904610276222229
22fffb34297b4eddbbf5040a8836bdf2,V1_pre_f3_train_seam_ai_cap_100%,../saves/models/V1/V1_pre_f3_train_seam_ai_cap_100%,V1,f3,seam_ai,1.0,0.6988728642463684,0.890579104423523
5becebf9a3ef9e32b4b6cdebddb66b7a,V1_pre_f3_train_seam_ai_N_cap_1%,../saves/models/V1/V1_pre_f3_train_seam_ai_N_cap_1%,V1,f3,seam_ai_N,0.01,0.5722771286964417,0.8215681314468384
9bda22606498dcc8eed059db443d5d44,V1_pre_f3_train_seam_ai_N_cap_10%,../saves/models/V1/V1_pre_f3_train_seam_ai_N_cap_10%,V1,f3,seam_ai_N,0.1,0.6950541734695435,0.8778036832809448
f6126c9b4f036de193ba87b42d576407,V1_pre_f3_train_seam_ai_N_cap_50%,../saves/models/V1/V1_pre_f3_train_seam_ai_N_cap_50%,V1,f3,seam_ai_N,0.5,0.7345283627510071,0.8975904583930969
b927bd6ef716979dbc3758edfd872886,V1_pre_f3_train_seam_ai_N_cap_100%,../saves/models/V1/V1_pre_f3_train_seam_ai_N_cap_100%,V1,f3,seam_ai_N,1.0,0.7034311294555664,0.8904553651809692
557a80263a7fcfb436c2860e650640ac,V10_pre_f3_train_f3_cap_1%,../saves/models/V10/V10_pre_f3_train_f3_cap_1%,V10,f3,f3,0.01,0.4980524778366089,0.8261843323707581
62f278a3def2cf700f8d244c66b92554,V10_pre_f3_train_f3_cap_10%,../saves/models/V10/V10_pre_f3_train_f3_cap_10%,V10,f3,f3,0.1,0.6871112585067749,0.9106258153915404
c368f836ce5abbccc0f28b641bf5168d,V10_pre_f3_train_f3_cap_50%,../saves/models/V10/V10_pre_f3_train_f3_cap_50%,V10,f3,f3,0.5,0.7026172280311584,0.9067569971084596
a959c29e80fc2706d6fd6399b7d08d73,V10_pre_f3_train_f3_cap_100%,../saves/models/V10/V10_pre_f3_train_f3_cap_100%,V10,f3,f3,1.0,0.7095760703086853,0.9068235754966736
b1dcdb9ccd63f187baa1d3601604ca6c,V10_pre_f3_train_f3_N_cap_1%,../saves/models/V10/V10_pre_f3_train_f3_N_cap_1%,V10,f3,f3_N,0.01,0.4717776179313659,0.8208250403404236
e38c171d17378e83faab8082e4c0bdae,V10_pre_f3_train_f3_N_cap_10%,../saves/models/V10/V10_pre_f3_train_f3_N_cap_10%,V10,f3,f3_N,0.1,0.7012801766395569,0.914355218410492
7c6563681bf052c3f032503d9c5a3a48,V10_pre_f3_train_f3_N_cap_50%,../saves/models/V10/V10_pre_f3_train_f3_N_cap_50%,V10,f3,f3_N,0.5,0.7178878784179688,0.9160634875297546
c5e3a9327a52b542e2d817f9d97ec3a3,V10_pre_f3_train_f3_N_cap_100%,../saves/models/V10/V10_pre_f3_train_f3_N_cap_100%,V10,f3,f3_N,1.0,0.7129969596862793,0.9081254601478576
7e7ff19b862ad372c49437eb7087119b,V10_pre_f3_train_seam_ai_cap_1%,../saves/models/V10/V10_pre_f3_train_seam_ai_cap_1%,V10,f3,seam_ai,0.01,0.5875716209411621,0.7963892817497253
b433f8938645ac8eee764c2892b7f172,V10_pre_f3_train_seam_ai_cap_10%,../saves/models/V10/V10_pre_f3_train_seam_ai_cap_10%,V10,f3,seam_ai,0.1,0.6706193685531616,0.850322961807251
6626466316271a95b3c715245838489b,V10_pre_f3_train_seam_ai_cap_50%,../saves/models/V10/V10_pre_f3_train_seam_ai_cap_50%,V10,f3,seam_ai,0.5,0.7085700035095215,0.8866139054298401
29d0372e50985845003b26ca36d777ec,V10_pre_f3_train_seam_ai_cap_100%,../saves/models/V10/V10_pre_f3_train_seam_ai_cap_100%,V10,f3,seam_ai,1.0,0.6737996339797974,0.8781796097755432
c6c048248c4369b9286a63d1785cb685,V10_pre_f3_train_seam_ai_N_cap_1%,../saves/models/V10/V10_pre_f3_train_seam_ai_N_cap_1%,V10,f3,seam_ai_N,0.01,0.6192052364349365,0.8269756436347961
0f54a6e709b5e4d89aef559a49729251,V10_pre_f3_train_seam_ai_N_cap_10%,../saves/models/V10/V10_pre_f3_train_seam_ai_N_cap_10%,V10,f3,seam_ai_N,0.1,0.6906578540802002,0.8720117211341858
23e50c539a8eb79757d42160d956d02a,V10_pre_f3_train_seam_ai_N_cap_50%,../saves/models/V10/V10_pre_f3_train_seam_ai_N_cap_50%,V10,f3,seam_ai_N,0.5,0.7080898880958557,0.878115713596344
440bcb914ef6d9db49e6f5849b94ed55,V10_pre_f3_train_seam_ai_N_cap_100%,../saves/models/V10/V10_pre_f3_train_seam_ai_N_cap_100%,V10,f3,seam_ai_N,1.0,0.7217372059822083,0.8930748105049133
c3a823f3de46bc733637c14e5be3e3af,V10_pre_f3_norm_train_f3_cap_1%,../saves/models/V10/V10_pre_f3_norm_train_f3_cap_1%,V10,f3_norm,f3,0.01,0.3183425664901733,0.7229468822479248
2e8212ef6b9d5c5f4ccf7f5d18bff3f5,V10_pre_f3_norm_train_f3_cap_10%,../saves/models/V10/V10_pre_f3_norm_train_f3_cap_10%,V10,f3_norm,f3,0.1,0.6733952760696411,0.9004627466201782
883c6473d0f420bfcaab2e4baf9bcba8,V10_pre_f3_norm_train_f3_cap_50%,../saves/models/V10/V10_pre_f3_norm_train_f3_cap_50%,V10,f3_norm,f3,0.5,0.717083215713501,0.911694586277008
1d691da049bb55bb3ee7673e4260db97,V10_pre_f3_norm_train_f3_cap_100%,../saves/models/V10/V10_pre_f3_norm_train_f3_cap_100%,V10,f3_norm,f3,1.0,0.7274249792098999,0.9156584143638612
cec850230e848f8341f6bead538c4792,V10_pre_f3_norm_train_f3_N_cap_1%,../saves/models/V10/V10_pre_f3_norm_train_f3_N_cap_1%,V10,f3_norm,f3_N,0.01,0.5133557319641113,0.8185306787490845
